id,today,zone,lga_name,ward,community,project_title,project_id,project_sector,project_year,gps,X_gps_latitude,X_gps_longitude,picture,project_status,remark,state
1,12/5/11,4_SE,Umuahia North,Isingwu ,Okpu Isingwu,Construction of motorized borehole/PHC,CGS/AB/UM//011/2009,Water and Sanitation,2009,5.546802878379822 7.464233636856079 133.0 3.0,5.546802878,7.464233637,1323102223511.jpg,Completed & Functional,Borehole not functional,AB
2,12/5/11,4_SE,umuahia north,isingwu,umumgbokwo,const of phc,CGS /AB/UM//09/2009,Healthcare,2009,5.541953444480896 7.469174265861511 144.0 4.0,5.541953444,7.469174266,1323100166583.jpg,Completed & Functional,NA,AB
3,12/5/11,4_SE,Umuahia North,Isingwu,Umumgbokwo,Equiping of health post/facilities,CGS/AB/UM//032/2009,Healthcare,2009,5.541985630989075 7.469147443771362 145.0 4.0,5.541985631,7.469147444,1323097143079.jpg,Completed & Functional,NA,AB
4,12/5/11,4_SE,Umuahia North,"
Ibeku East Ward 02",Eziama Mgbaja,Classroom Block + VIP,QWN/AB/LT1/09/013,Education,2009,5.534153580665588 7.474592328071594 152.0 4.0,5.534153581,7.474592328,1323098631881.jpg,Completed & Functional,NA,AB
5,12/5/11,4_SE,Umuahia North,Ibeku East Ward 2,Eziama Ossah,Equiping of health post/facilities,CGS/AB/UM//037/2009,Healthcare,2009,5.534185767173767 7.472527027130127 141.0 4.0,5.534185767,7.472527027,1323099610221.jpg,Completed & Functional,NA,AB
6,12/5/11,4_SE,UMUAHIA NORTH,ibeku east 2,ezima ossah,const of phc,cgs/ab/um/87/2008,Healthcare,2008,5.534148216247559 7.472527027130127 148.0 4.0,5.534148216,7.472527027,1323103216903.jpg,Completed & Functional,NA,AB
7,12/6/11,5_SS,Akpabuyo,Ikot Nakanda,Ikot Nakanda,Conditional cash transfers,CGS/CR/AK/022/2009,CCT,2009,4.88442599773407 8.4814453125 69.0 4.0,4.884425998,8.481445313,1323202228901.jpg,Completed & Functional,NA,CR
8,12/7/11,5_SS,ETHIOPE WEST,OGHAREKI,OGHAREKI PHC,CONSRRUCTION OF SOLAR POWER BOREHOLE,CGS/DE/ET/03/2008,Water and Sanitation,2008,5.9537047147750854 5.635310411453247 45.0 4.0,5.953704715,5.635310411,1323267220806.jpg,Completed & Functional,COMPLETED & FUNCTIONAL,DE
9,12/7/11,3_NE,karim lamido,karim A,karim lamido,classroom furniture,qwn/tar/lt45/08/003b,Education,2008,9.31342899799347 11.18805706501007 164.0 4.0,9.313428998,11.18805707,1323275316413.jpg,Completed & Functional,In proper use,TA
10,12/7/11,3_NE,karim lamido,karim A,karim lamido,classroom furniture,qwn/tar/lt45/08/003a,Education,2008,9.313965439796448 11.188121438026428 157.0 4.0,9.31396544,11.18812144,1323274573633.jpg,Completed & Functional,In proper use,TA
11,12/7/11,3_NE,karim Lamido,karim A,karim Lamido,Hand pump borehole,cgs/ta/ka/09/2008,Water and Sanitation,2008,9.320359826087952 11.191179156303406 163.0 4.0,9.320359826,11.19117916,1323282420607.jpg,Completed but not Functional,broken down,TA
12,12/7/11,4_SE,Awka North,Achalla II,Odawa Achalla,provision of VIP toilets in schools and PHC Centre,CGS/AN/AW/AC/2007,Water and Sanitation,2007,6.342083215713501 6.981167793273926 90.0 3.0,6.342083216,6.981167793,1323263644000.jpg,Completed & Functional,NA,AN
13,12/7/11,3_NE,karim Lamido,karim A,karim Lamido,Hand pump borehole,cgs/ta/ka/07/2008,Water and Sanitation,2008,9.308847784996033 11.187483072280884 146.0 3.0,9.308847785,11.18748307,1323284231517.jpg,Abandoned,strategy for the community,TA
14,12/7/11,5_SS,ETHIOPE WEST,OGHAREKI,OGHAREKI MODEL PHC,DELTA STATE CGS SCALING UP OF BRANDED LLITN,CGS/DE/ET/069/2009,Healthcare,2009,5.946130156517029 5.6302410364151 38.0 4.0,5.946130157,5.630241036,1323266276491.jpg,Not Started,NOT STARTED,DE
15,12/7/11,3_NE,karim Lamido,karom A,karim A,Handpump borehole,qwn/tar/lt6/09/059,Water and Sanitation,2009,9.315290451049805 11.187660098075867 162.0 4.0,9.315290451,11.1876601,1323276228376.jpg,Completed but not Functional,no output,TA
16,12/7/11,3_NE,karim Lamido,karim A,karim,solar powered borehole,cgs/ta/ka/15/2008,Defence,2008,9.3161541223526 11.192471981048584 165.0 4.0,9.316154122,11.19247198,1323272034384.jpg,Completed but not Functional,no output,TA
17,12/7/11,5_SS,ETHIOPE WEST,OGHAREKI,OGHAREKI PHC,ACT,CGS/DE/ET/064/2009,Healthcare,2009,5.95384955406189 5.635455250740051 43.0 4.0,5.953849554,5.635455251,1323267664260.jpg,Completed & Functional,COMPLETED,DE
18,12/7/11,4_SE,Awka North,Achalla,Odawa Achalla,VIP Toilets,CGS/AN/AW/024/2008,Water and Sanitation,2008,6.3383549451828 6.98506772518158 92.0 4.0,6.338354945,6.985067725,1323262349088.jpg,Completed & Functional,NA,AN
19,12/7/11,4_SE,Awka North,Achalla III,Egede Achalla, Solar powered borehole in school and PHC,CGS/AN/AW/78/2008,Water and Sanitation,2008,6.329669952392578 6.981934905052185 94.0 3.0,6.329669952,6.981934905,1323261462911.jpg,Completed & Functional,NA,AN
20,12/7/11,4_SE,Awka North,Achalla III,Achalla,Comprehensive literacy survey,EDU/NMEC/ANA/09/008,Education,2009,6.320260763168335 6.983276009559631 70.0 4.0,6.320260763,6.98327601,1323256975518.jpg,Completed & Functional,NA,AN
21,12/6/11,4_SE,Awka South,Umueze I,Umueze,NYSC MDGs Advocacy Project (MAC&FACOR),YTH/NYSC/08/004,Youth Affairs,2008,6.2001729011535645 7.046849727630615 143.0 4.0,6.200172901,7.046849728,1323182295626.jpg,Completed & Functional,NA,AN
22,12/6/11,4_SE,Awka South,Agu-Awka VIII,Perm site Govt house,Headquarters Rehabilitation,WTR/AIRBDA/ANA/08/013,Cross cutting,2008,6.237106919288635 7.09317147731781 124.0 4.0,6.237106919,7.093171477,1323178977003.jpg,Completed & Functional,NA,AN
23,12/6/11,4_SE,Awka South,Agu-Awka VIII,Perm site Govt house ,small scale(minor) irrigation projects(5 no in each state),WTR/AIRBDA/ANA/08/001,Water and Sanitation,2008,6.2373268604278564 7.0932090282440186 124.0 4.0,6.23732686,7.093209028,1323178354371.jpg,Completed & Functional,NA,AN
24,12/6/11,4_SE,Awka South,Agu-Awka VIII,Govt house layout,HIV/AIDS,YTH/MYTH/08/002C,Training,2008,6.233834624290466 7.093766927719116 123.0 4.0,6.233834624,7.093766928,1323176283808.jpg,Completed & Functional,NA,AN
25,12/7/11,5_SS,WARRI NORTH,AJAGBODUDU,AJAGBODUDU,SUPPLY OF BRANDED ANTIMALARIA THERAPY,CGS/DE/WA/036/2009,Healthcare,2009,5.956488847732544 5.578688979148865 32.0 4.0,5.956488848,5.578688979,1323263914331.jpg,Not Started,NOT STARTED,DE
26,12/7/11,4_SE,Awka North,Achalla I,Umuogbe Achalla,capacity building for health workers and equipment of health facilities to strengthen the PHCs,CGS/AN/AW/010/2008,Healthcare,2008,6.34235680103302 6.9929587841033936 123.0 4.0,6.342356801,6.992958784,1323266209971.jpg,Completed & Functional,NA,AN
27,12/6/11,4_SE,Awka South,Agu-Awka VIII,Govt house layout,participating in COPE phase II conditional cash transfer,NAP/ANA/09/002,CCT,2009,6.230481863021851 7.091578245162964 133.0 2.0,6.230481863,7.091578245,1323174100360.jpg,Completed & Functional,NA,AN
28,12/7/11,4_SE,Awka North,Achalla III,Achalla,Skill/Youth Development Programme(Rehabilitation+Equipment),CGS/AN/AW/018/2009,Youth Affairs,2009,6.319268345832825 6.984702944755554 68.0 3.0,6.319268346,6.984702945,1323257599186.jpg,Completed but not Functional,NA,AN
29,12/6/11,4_SE,Awka South,Amachalla,Umuzocha,Distribution of SPs-254523,HLT/NMCP/ANA/08/002,Healthcare,2008,6.223411560058594 7.078505158424377 155.0 4.0,6.22341156,7.078505158,1323171488053.jpg,Completed & Functional,NA,AN
30,12/7/11,5_SS,ETHIOPE WEST,OGHAREKI,OGHAREKI MODEL PHC,DELTA STATE CGS SCALING UP OF BRANDED LLITN,CGS/DE/ET/069/2009,Healthcare,2009,5.946130156517029 5.6302410364151 38.0 4.0,5.946130157,5.630241036,1323266276491.jpg,Not Started,NOT STARTED,DE
31,12/6/11,4_SE,Awka South,Agu-Awka VIII,Govt house layout,participating in COPE phase II conditional cash transfer,NAP/ANA/09/001,CCT,2009,6.230546236038208 7.091492414474487 154.0 4.0,6.230546236,7.091492414,1323173766970.jpg,Completed & Functional,NA,AN
32,12/7/11,5_SS,WARRI NORTH,248,AJAGBODUDU,PROCUREMENT OF MEDICAL OBSTETRICS EQUIP,CGS/DE/WA/24/01/2009,Healthcare,2008,5.956360101699829 5.5786460638046265 15.0 4.0,5.956360102,5.578646064,1323263828721.jpg,Not Started,NOT STARTED,DE
33,12/6/11,4_SE,Awka South,Amachalla,Umuzocha,Distribution of 20000 Qty LLINS,HLT/NMCP/ANA/08/001,Healthcare,2008,6.223400831222534 7.07843542098999 156.0 4.0,6.223400831,7.078435421,1323170893644.jpg,Completed & Functional,NA,AN
34,12/8/11,3_NE,wukari,rafinkada,toryorsha,handpump,qwn/tar/lt6/09/110,Water and Sanitation,2009,7.759914994239807 9.873511791229248 196.0 4.0,7.759914994,9.873511791,1323324108294.jpg,Completed & Functional,ok,TA
35,12/8/11,3_NE,wukari,Tapare,tapare,handpump,qwn/tar/lt6/09/109b,Water and Sanitation,2009,7.861790657043457 9.940266609191895 168.0 4.0,7.861790657,9.940266609,1323341587820.jpg,Completed but not Functional,not working,TA
36,12/8/11,3_NE,wukari,rafinkada,rafinkada,maternity clinic,non,Healthcare,2007,7.710294127464294 9.886595606803894 164.0 3.0,7.710294127,9.886595607,1323327295680.jpg,Completed & Functional,ok,TA
37,12/8/11,3_NE,wukari,mamman posa,mammanposa,hand pump,qwn/tar/lt6/09/101,Water and Sanitation,2009,7.872503399848938 10.020094513893127 149.0 4.0,7.8725034,10.02009451,1323339291392.jpg,Completed but not Functional,not working,TA
38,12/7/11,3_NE,wukari,mahanga,bantaji,hand pump,cgs/ta/wu/07/2008,Education,2008,8.170255422592163 10.151324272155762 174.0 4.0,8.170255423,10.15132427,1323254510938.jpg,Completed & Functional,ok,TA
39,12/7/11,5_SS,IGUEBEN,Ward 7,Ewosa,Drilling 104 solar boreholes and upgrading existing boreholes,523560939,Water and Sanitation,2008,6.46269679069519 6.2748295068740845 283.0 4.0,6.462696791,6.274829507,1323297140215.jpg,Completed & Functional,Good,ED
40,12/7/11,5_SS,IGUEBEN,Ward 8,UGUN,Drilling 104 Solar Boreholed and upgrading existing boreholes ,CGS/ED/IG//04/2008,Water and Sanitation,2008,6.481220126152039 6.180506944656372 192.0 4.0,6.481220126,6.180506945,1323295315432.jpg,Not Started,"Project site may have been relocated
",ED
